zone,start_local,start_utc,duration_sec,accuracy,source
Reihe 2,2026-05-21 11:00:00,2026-05-21 09:00:00,72,stunde_rekonstruiert,ha_lts_power_energy
Reihe 3,2026-05-21 11:00:00,2026-05-21 09:00:00,72,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-21 11:30:00,2026-05-21 09:30:00,119,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-21 12:00:00,2026-05-21 10:00:00,117,stunde_rekonstruiert,ha_lts_power_energy
Reihe 1,2026-05-21 12:00:00,2026-05-21 10:00:00,14,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-21 12:30:00,2026-05-21 10:30:00,117,stunde_rekonstruiert,ha_lts_power_energy
Reihe 1,2026-05-21 12:30:00,2026-05-21 10:30:00,14,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-21 13:00:00,2026-05-21 11:00:00,117,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-21 13:30:00,2026-05-21 11:30:00,117,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-21 14:00:00,2026-05-21 12:00:00,114,stunde_rekonstruiert,ha_lts_power_energy
Reihe 1,2026-05-21 14:00:00,2026-05-21 12:00:00,14,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-21 14:30:00,2026-05-21 12:30:00,114,stunde_rekonstruiert,ha_lts_power_energy
Reihe 1,2026-05-21 14:30:00,2026-05-21 12:30:00,14,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-21 15:00:00,2026-05-21 13:00:00,112,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-21 15:30:00,2026-05-21 13:30:00,112,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-21 16:00:00,2026-05-21 14:00:00,115,stunde_rekonstruiert,ha_lts_power_energy
Reihe 1,2026-05-21 16:00:00,2026-05-21 14:00:00,14,stunde_rekonstruiert,ha_lts_power_energy
Reihe 1,2026-05-21 16:30:00,2026-05-21 14:30:00,14,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-21 17:00:00,2026-05-21 15:00:00,118,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-21 17:30:00,2026-05-21 15:30:00,118,stunde_rekonstruiert,ha_lts_power_energy
Reihe 1,2026-05-21 18:00:00,2026-05-21 16:00:00,14,stunde_rekonstruiert,ha_lts_power_energy
Reihe 1,2026-05-21 18:30:00,2026-05-21 16:30:00,14,stunde_rekonstruiert,ha_lts_power_energy
Reihe 1,2026-05-21 20:00:00,2026-05-21 18:00:00,14,stunde_rekonstruiert,ha_lts_power_energy
